State,Prediction
Alabama,2
Arizona,1
Arkansas,1
California,1
Colorado,1
Connecticut,3
Delaware,3
Florida,3
Georgia,1
Idaho,1
Illinois,2
Indiana,2
Iowa,2
Kansas,2
Kentucky,2
Louisiana,2
Maine,1
Maryland,1
Massachusetts,3
Michigan,3
Minnesota,2
Mississippi,2
Missouri,2
Montana,2
Nebraska,2
Nevada,1
New Hampshire,4
New Jersey,4
New Mexico,3
New York,3
North Carolina,3
North Dakota,2
Ohio,1
Oklahoma,1
Oregon,1
Pennsylvania,1
Rhode Island,3
South Carolina,1
South Dakota,2
Tennessee,1
Texas,1
Utah,1
Vermont,3
Virginia,1
Washington,1
West Virginia,1
Wisconsin,1
Wyoming,1
